2,Countries,"Under-5 mortality rate (deaths per 1,000 live births) 1990","Under-5 mortality rate (deaths per 1,000 live births) 2000","Under-5 mortality rate (deaths per 1,000 live births) 2018",,"Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 male","Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 female","Infant mortality rate (deaths per 1,000 live births) 1990","Infant mortality rate (deaths per 1,000 live births) 2018","Neonatal mortality rate (deaths per 1,000 live births) 1990","Neonatal mortality rate (deaths per 1,000 live births) 2000","Neonatal mortality rate (deaths per 1,000 live births) 2018","Probability of dying among children aged 5â14 (deaths per 1,000 children aged 5) 1990","Probability of dying among children aged 5-14 (deaths per 1,000 children aged 5) 2018","Annual number of under-5 deaths (thousands)
2019","Annual number of neonatal deaths (thousands)
2019","Neonatal deaths as proportion of all under-5 deaths         (%)
2019","Number of deaths among children aged 5-14 (thousands)
2019",Developed/developing
60,Equatorial Guinea,179,157,85,3.4,91,79,121,63,48,45,30,38,18,4,1,36,1,0
61,Eritrea,153,86,42,4,47,36,94,31,35,27,18,45,9,4,2,44,1,0
62,Estonia,18,11,3,7.9,3,2,14,2,10,5,1,5,1,0,0,47,0,1
63,Eswatini,71,126,54,4.7,59,49,54,43,21,23,17,11,13,2,1,32,0,0
64,Ethiopia,202,142,55,5.2,61,49,120,39,59,49,28,78,12,191,99,52,34,0
65,Fiji,29,23,26,-0.7,28,23,24,22,12,9,11,10,5,0,0,42,0,0
66,Finland,7,4,2,5.1,2,2,6,1,4,2,1,2,1,0,0,55,0,1
67,France,9,5,4,1.6,4,4,7,3,4,3,3,2,1,3,2,62,1,0
68,Gabon,93,85,45,3.5,49,40,60,33,31,29,21,19,14,3,1,48,1,0
69,Gambia,167,115,58,3.8,63,54,82,39,49,40,26,36,13,5,2,46,1,0
70,Georgia,48,37,10,7.3,11,9,41,9,25,23,6,7,2,1,0,59,0,1
71,Germany,9,5,4,2.1,4,3,7,3,3,3,2,2,1,3,2,60,1,1
72,Ghana,127,99,48,4.1,52,43,80,35,42,36,24,27,12,41,21,51,9,0
73,Greece,10,6,4,2,5,4,9,4,6,4,3,2,1,0,0,56,0,1
74,Grenada,22,16,15,0.1,17,14,18,14,12,7,10,3,5,0,0,64,0,0
75,Guatemala,80,52,26,3.8,29,23,59,22,28,21,12,12,4,11,5,47,2,0
76,Guinea,236,166,101,2.8,105,96,139,65,62,47,31,49,21,44,14,32,8,0
77,Guinea-Bissau,223,175,81,4.2,88,75,132,54,64,55,37,40,16,5,2,46,1,0
78,Guyana,60,47,30,2.4,34,26,47,25,31,27,18,6,5,0,0,60,0,0
79,Haiti,144,103,65,2.6,70,59,100,49,39,30,26,31,12,17,7,40,3,0
80,Holy See,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
81,Honduras,58,37,18,4.1,19,16,45,15,22,18,10,9,5,4,2,55,1,0
82,Hungary,17,10,4,4.8,5,4,15,4,11,6,2,3,1,0,0,53,0,0
83,Iceland,6,4,2,4,2,2,5,2,3,2,1,2,1,0,0,50,0,1
84,India,126,92,37,5.1,36,37,89,30,57,45,23,21,6,882,549,62,143,0
85,Indonesia,84,52,25,4.1,28,22,62,21,31,23,13,15,6,121,62,51,28,0
86,Iran (Islamic Republic of),56,34,14,4.8,15,14,44,12,26,19,9,8,3,22,14,62,3,0
87,Iraq,54,44,27,2.8,29,24,42,22,26,24,15,9,7,29,17,58,7,0
88,Ireland,9,7,4,3.7,4,3,8,3,5,4,2,2,1,0,0,61,0,1
89,Israel,12,7,4,3.4,4,3,10,3,6,4,2,2,1,1,0,52,0,1
90,Italy,10,6,3,3.4,3,3,8,3,6,3,2,2,1,1,1,64,0,1
91,Jamaica,30,22,14,2.4,16,13,25,12,20,17,10,5,3,1,0,71,0,0
92,Japan,6,5,2,3.3,3,2,5,2,3,2,1,2,1,2,1,33,1,1
93,Jordan,36,27,16,2.9,18,15,30,14,20,16,9,5,3,3,2,59,1,0
94,Kazakhstan,52,43,10,8.1,11,9,44,9,22,21,6,6,3,4,2,56,1,0
95,Kenya,107,106,41,5.3,45,37,68,31,28,28,20,18,10,60,29,48,14,0
96,Kiribati,95,71,53,1.7,57,48,69,41,36,29,23,16,9,0,0,44,0,0
97,Kuwait,18,12,8,2.5,9,7,15,7,10,7,4,5,2,0,0,56,0,1
98,Kyrgyzstan,65,49,19,5.3,21,17,54,17,24,20,13,6,3,3,2,69,0,0
99,Lao People's Democratic Republic,153,107,47,4.5,52,42,105,38,47,38,23,44,9,8,4,48,1,0
100,Latvia,17,14,4,7.2,4,4,13,3,8,7,2,6,1,0,0,51,0,1
101,Lebanon,32,20,7,5.5,8,7,27,6,20,12,4,8,2,1,1,59,0,0
102,Lesotho,90,118,81,2.1,88,74,72,66,39,40,35,17,9,5,2,43,0,0
103,Liberia,262,187,71,5.4,76,65,175,53,59,45,24,33,17,11,4,35,2,0
104,Libya,42,28,12,4.8,13,11,35,10,21,15,6,8,6,2,1,52,1,0
